"","datetime","city","country","shape"
"18287",2020-01-19,"everett","us","sphere"
"25661",2019-01-27,"woodinville (north east)","us","sphere"
"14819",2020-11-28,"shepton mallet (uk/england)","gb","sphere"
"81310",2019-09-01,"seaside","us","triangle"
"73257",2020-08-14,"seguin","us","triangle"
"64319",2020-07-18,"tehran (iran)",NA,NA
"78402",2019-08-31,"everton","us",NA
"47664",2019-05-18,"rapid city","us","other"
"58227",2019-06-29,"peterborough lakes (by kawartha; peterborough) (canada)",NA,"cigar"
"72835",2020-08-13,"longmont","us","cigar"
"78138",2019-08-30,"portland","us","cigar"
"4148",2020-10-02,"fairfax station","us","circle"
"1969",2019-10-15,"greenwich","us","circle"
"53395",2020-06-12,"bay city","us","cylinder"
"30721",2020-02-21,"rogue river","us","disk"
"76633",2020-08-23,"south portland","us","fireball"
"4340",2020-10-22,"east hanover","us","light"
"64705",2019-07-20,"arizona (about 3 hours from&#44 on i-15)",NA,"light"
"79668",2020-08-06,"galveston","us","oval"
"25464",2020-01-26,"madrid (spain)",NA,"sphere"
"47398",2020-05-16,"new york city","us","teardrop"
"36338",2020-03-21,"lexington","us","triangle"
"52827",2019-06-01,"mesa","us","other"
"26361",2019-01-29,"germantown/frederick  (between)",NA,"disk"
"54407",2019-06-15,"stone mountain","us","disk"
"43673",2020-04-27,"honaunau","us","formation"
"66679",2020-07-26,"cotulla","us","rectangle"
"61753",2020-07-01,"atlantic beach","us","light"
"43201",2020-04-24,"briggsville","us","other"
"2297",2020-10-15,"gainesville","us","unknown"
"11162",2019-11-17,"middleborough",NA,"light"
"80466",2020-08-09,"genoa","us","unknown"
"4164",2019-10-22,"green river","us","cone"
"17929",2020-01-18,"auckland (new zealand)",NA,"light"
"4128",2020-10-02,"maple valley","us","chevron"
"76879",2020-08-24,"new york city (bronx)","us","circle"
"71816",2019-08-01,"virden","us","sphere"
"13535",2020-01-12,"grass valley","us","sphere"
"67304",2020-07-29,"atlantic ocean (canada)",NA,"circle"
"66011",2020-07-24,"buckeye (outside)","us","light"
"60031",2020-06-06,"rockford","us","light"
"19712",2020-12-12,"palo alto","us","cylinder"
"71102",2019-08-10,"hollis","us","sphere"
"81975",2020-09-12,"santa barbara","us","triangle"
"51892",2020-06-11,"austin","us","fireball"
"5048",2020-10-25,"matteson","us","formation"
"68113",2020-07-03,"mountain home","us","light"
"22330",2019-12-24,"jackson","us","unknown"
"75282",2019-08-20,"winslow","us","formation"
"3757",2019-10-21,"rochester","us","disk"
"61307",2019-07-01,"mt. vernon",NA,"disk"
"64842",2020-07-20,"arnold","us","light"
"28258",2020-01-09,"brookhaven","us","circle"
"41494",2020-04-17,"mcminnville","us","triangle"
"28166",2020-01-09,"newark","us","cigar"
"2622",2020-10-16,"fairfield","us","rectangle"
"16871",2019-01-16,"clermont","us","disk"
"83179",2020-09-16,"napa","us","fireball"
"14444",2019-11-26,"flagstaff","us","light"
"7370",2020-10-06,"corcoran","us","light"
"3647",2020-10-20,"cincinnati","us","light"
"34204",2019-03-12,"alamosa","us","sphere"
"8641",2020-11-10,"bayville","us","fireball"
"77474",2020-08-27,"stryker","us","flash"
"29041",2020-02-12,"goose creek","us","flash"
"8235",2020-01-10,"new carlisle","us","light"
"79740",2019-08-07,"romeo","us","light"
"36208",2020-03-20,"montreal (canada)","ca","oval"
"65413",2020-07-02,"hamilton","us","sphere"
"41243",2020-04-16,"new york city (brooklyn)","us","sphere"
"55223",2020-06-17,"atlantic ocean (nc/250+nm off the coast)",NA,"unknown"
"49048",2020-05-24,"madison","us","fireball"
"81184",2019-09-01,"independence","us","disk"
"73342",2019-08-15,"new york city (brooklyn)","us","disk"
"84333",2020-09-20,"south padre island","us","light"
"86312",2020-09-27,"seattle","us","light"
"9588",2019-11-12,"wyandotte","us","other"
"60492",2020-06-08,"sault ste marie (canada)",NA,"triangle"
"19198",2020-12-01,"s. bossier",NA,"cigar"
"78957",2019-08-04,"hazel dell","us",NA
"63161",2019-07-15,"edmonds","us","light"
"71770",2020-08-11,"san jose","us","other"
"52734",2019-06-01,"new york city","us","cigar"
"65917",2020-07-23,"lawrenceville","us","cigar"
"35897",2020-03-19,"victoria (canada)","ca","cigar"
"41670",2020-04-18,"denver","us","circle"
"62052",2020-07-12,"swakopmund (namibia)",NA,"light"
"88603",2020-09-08,"birch bay","us","light"
"31950",2019-02-27,"chloride","us","light"
