"","datetime","city","country","shape"
"61482",2019-07-01,"tupelo","us","disk"
"73146",2020-08-14,"frankfort","us","disk"
"77115",2020-08-25,"des moines","us","egg"
"45185",2020-04-07,"cumbria (uk/england)","gb","light"
"34812",2020-03-14,"corpus christi (off shore)","us","light"
"74614",2020-08-17,"hermiston","us","light"
"84439",2019-09-21,"greenwich","us","light"
"37310",2020-03-26,"tampa","us","light"
"71768",2020-08-11,"loveland","us","light"
"72947",2020-08-13,"rapid city","us","other"
"12613",2020-01-01,"springdale","us","oval"
"1667",2020-10-14,"brisbane (qld&#44 australia)","au","oval"
"66381",2020-07-25,"sainte-anne-du-lac (1hour from) (canada)","ca","oval"
"34811",2020-03-14,"eden","us","rectangle"
"67043",2020-07-28,"tyler","us","sphere"
"15736",2020-11-03,"albuquerque","us","sphere"
"22190",2020-12-23,"murfreesboro","us","sphere"
"35968",2020-03-19,"belen","us","unknown"
"48429",2019-05-02,"vancouver","us",NA
"80847",2020-09-10,"st. helena","us","flash"
"24583",2020-01-23,"miami","us","fireball"
"36494",2020-03-02,"fleming","us","light"
"13834",2019-11-23,"coon rapids","us","oval"
"46808",2020-05-14,"clear lake (beaver co.)","us","unknown"
"34989",2019-03-15,"danbury  (near; carmel vor)","us","chevron"
"62040",2020-07-12,"howth (ireland)",NA,"other"
"26801",2020-01-31,"jewell valley",NA,NA
"23299",2020-12-28,"austin","us","triangle"
"71566",2020-08-11,"denver","us","fireball"
"9626",2020-11-12,"lyons","us","sphere"
"13523",2020-11-02,"santa rosa","us","triangle"
"1189",2020-10-12,"mesa","us","sphere"
"38764",2019-03-06,"shell beach","us","fireball"
"72464",2020-08-12,"london (near) (uk/england)","gb","light"
"3432",2019-10-20,"middle town",NA,"diamond"
"62973",2019-07-15,"orlando","us","disk"
"27373",2019-01-05,"alamogordo","us","disk"
"42795",2020-04-22,"royse city","us","formation"
"75494",2020-08-20,"hartsville","us","light"
"86354",2020-09-27,"adelaide  (south australia)","au","light"
"76445",2020-08-23,"mesa","us","oval"
"39260",2020-03-08,"ennis","us","sphere"
"38270",2019-03-03,"houston","us","sphere"
"75735",2020-08-21,"utica","us","triangle"
"35954",2020-03-19,"mays landing","us","unknown"
"30786",2020-02-21,"knoxville","us","circle"
"9130",2020-01-11,"rockford","us","light"
"86697",2020-09-28,"albion","us","diamond"
"65018",2020-07-20,"terryville","us","unknown"
"74260",2020-08-16,"strongsville","us","triangle"
"88628",2019-09-09,"??",NA,"rectangle"
"66889",2020-07-27,"alton","us","triangle"
"36252",2019-03-21,"yucaipa","us","fireball"
"21427",2020-12-20,"chula vista","us","circle"
"8769",2020-11-11,"pleasantville","us","cigar"
"72657",2020-08-12,"avon","us",NA
"73576",2019-08-15,"chowchilla","us","disk"
"41170",2020-04-15,"mecapalapa (mexico)",NA,"circle"
"81028",2020-09-11,"hillsboro","us","circle"
"67641",2020-07-30,"pittston","us","egg"
"11032",2020-11-16,"atlantic city","us","light"
"75877",2020-08-21,"orem","us","light"
"78867",2020-08-03,"fort collins","us","sphere"
"55783",2020-06-19,"macau (china)",NA,"disk"
"51654",2020-06-10,"portchester (uk/england)","gb","light"
"43253",2019-04-25,"delray beach","us","light"
"35719",2020-03-18,"sarasota","us","sphere"
"72677",2020-08-12,"louisville","us","fireball"
"76687",2020-08-24,"the colony","us","disk"
"49665",2020-05-28,"yavatmal (india)",NA,"formation"
"8461",2019-11-10,"santee","us","light"
"74045",2020-08-15,"conrad","us","sphere"
"47641",2020-05-17,"colorado springs","us","fireball"
"26615",2020-12-09,"mobile","us","other"
"32944",2020-02-06,"hamburg","us","sphere"
"51127",2020-05-07,"brookville/trotwood",NA,"triangle"
"88681",2020-09-09,"lisbon (portugal)",NA,"chevron"
"26364",2019-12-09,"rupert","us","light"
"29751",2020-02-15,"hector","us","light"
"39988",2019-04-01,"san bruno","us","other"
"66572",2020-07-26,"evans","us","changing"
"20404",2020-12-15,"uplyme (uk/england)","gb","circle"
"62609",2020-07-14,"springfield","us","circle"
"81054",2020-09-11,"ireland",NA,"circle"
"60847",2020-07-10,"hilton","us","circle"
"63173",2019-07-15,"camden","us","circle"
"5267",2020-10-26,"hamilton","us","diamond"
"66251",2019-07-25,"verhalen (between balmorea &amp; pecos",NA,"diamond"
"5608",2020-10-28,"st. louis","us","fireball"
"58453",2019-06-30,"uk/england",NA,"fireball"
"84467",2019-09-21,"post falls","us","fireball"
"26519",2020-01-29,"bloomfield","us","formation"
"295",2020-10-10,"essex junction","us","light"
"33903",2020-03-11,"sunrise","us","light"
"74320",2020-08-16,"circleville","us","light"
"67336",2020-07-29,"topeka","us","light"
"39333",2020-03-08,"lennox head (australia)","au","light"
"38723",2020-03-05,"kurtistown","us","light"
"67878",2020-07-31,"mosinee","us","light"
"44040",2020-04-29,"boise","us","light"
"4409",2019-10-23,"johannesburg (south africa)",NA,"other"
"6896",2019-10-04,"gillette","us","other"
"49895",2020-05-29,"university place","us","sphere"
"77308",2020-08-26,"sun (in vicinity of)",NA,"triangle"
"31471",2020-02-24,"fredricktown",NA,"triangle"
"51089",2020-05-07,"newmarket (canada)","ca","triangle"
"24141",2020-12-31,"newfane","us","unknown"
"31832",2020-02-26,"tampa","us","unknown"
"30225",2020-02-18,"st. james","us","unknown"
"37248",2020-03-25,"richmond","us",NA
"62862",2019-07-15,"somerville","us","light"
"51309",2020-05-08,"gardner","us","formation"
"52508",2019-06-01,"south st. paul",NA,"chevron"
"33810",2020-03-11,"carthage","us","circle"
"54540",2019-06-15,"oak brook terrace&#44 dorathy drennon park in",NA,"disk"
"74657",2020-08-17,"kure beach","us","fireball"
"83039",2020-09-15,"kalamazoo","us","fireball"
"81115",2020-09-11,"newport","us","fireball"
"68670",2020-07-04,"laguna woods","us","flash"
"11084",2020-11-16,"sisters","us","flash"
"1794",2020-10-14,"falls twp",NA,"formation"
"15038",2020-11-28,"hopkins","us","formation"
"61908",2019-07-12,"centerville","us","light"
"30413",2020-02-19,"springfield","us","light"
"67936",2020-07-31,"milford","us","oval"
"38836",2020-03-06,"huntsville","us","oval"
"32719",2020-02-05,"malden","us","oval"
"62443",2020-07-13,"debec (canada)","ca","rectangle"
"5830",2020-10-29,"liberty","us","triangle"
"16007",2020-11-04,"swindon (uk/england)","gb","triangle"
"15882",2019-01-14,"litchfield park","us","triangle"
"4575",2020-10-23,"colorado springs","us","triangle"
"15471",2020-01-13,"jacksonville","us","unknown"
"75656",2020-08-21,"angus (canada)","ca","unknown"
"38027",2020-03-30,"north bismarck",NA,"triangle"
"84777",NA,"chicago","us",NA
"19864",2020-12-13,"cataumet","us","unknown"
"16739",2020-11-05,"boothwyn","us","cigar"
"51728",2020-06-10,"cottonwood","us","other"
"69169",2020-07-04,"west hills",NA,"circle"
"71420",2020-08-10,"franklin","us","fireball"
"82959",2020-09-15,"pensacola","us","sphere"
"8749",2019-11-11,"wauwatosa","us","cigar"
"72940",2020-08-13,"seaside","us","other"
"22297",2020-12-23,"grovetown","us","triangle"
"4441",2020-10-23,"kuusamo (finland)",NA,"other"
"22706",2020-12-25,"eugene","us","changing"
"26705",2020-01-30,"weston","us","changing"
"14426",2019-11-26,"st. charles","us","changing"
"34693",2020-03-13,"texas city","us","changing"
"83218",2020-09-16,"conroe","us","chevron"
"71349",2020-08-10,"birmingham (uk/england)","gb","chevron"
"41955",2020-04-19,"hood river","us","cigar"
"80151",2020-08-08,"seattle","us","cigar"
"70997",2020-07-09,"folsom","us","circle"
"14212",2020-11-24,"hyattsville","us","circle"
"501",2020-10-11,"cincinnati","us","circle"
"45450",2020-04-09,"howe","us","circle"
"22284",2020-12-23,"westminster","us","circle"
"12318",2020-01-01,"kayamkulam (in kerala state) (india)",NA,"circle"
"802",2020-10-01,"granville","us","circle"
"31560",2020-02-24,"citrus heights","us","circle"
"65278",2019-07-02,"hampton","us","circle"
"10402",2019-11-15,"chester","us","circle"
"20141",2020-12-14,"memphis","us","circle"
"5914",2020-10-29,"browns summit","us","circle"
"12665",2020-01-01,"salem","us","circle"
"85241",2020-09-22,"santa fe","us","diamond"
"25374",2020-01-26,"beaufort","us","diamond"
"56813",2020-06-22,"fishers","us","disk"
"13092",2020-11-21,"scottsdale","us","disk"
"86637",2020-09-28,"thousand oaks","us","disk"
"72190",2020-08-01,"cowiche","us","disk"
"337",2019-10-11,"parry sound (near) (canada)","ca","disk"
"72183",2020-08-01,"chhindwara (india)",NA,"disk"
"58317",2020-06-29,"san ramon","us","disk"
"11805",2020-11-19,"encinitas","us","disk"
"54164",2019-06-15,"rifle","us","disk"
"40934",2019-04-15,"salmon arm (shushuap) (canada)","ca","fireball"
"13481",2020-11-02,"plymouth","us","fireball"
"629",2019-10-01,"alstead","us","fireball"
"18513",2020-01-20,"kailua-kona",NA,"fireball"
"3142",2020-10-18,"keizer","us","fireball"
"8775",2020-11-11,"kettle falls","us","fireball"
"9934",2020-11-13,"vancouver (canada)","ca","fireball"
"3378",2020-10-19,"winslow","us","fireball"
"68805",2020-07-04,"excelsior","us","formation"
"59989",2020-06-06,"berlin (germany)","de","formation"
"83553",2019-09-18,"kill devil hills","us","formation"
"2838",2020-10-17,"san jose","us","light"
"5641",2020-10-28,"bolingbrook","us","light"
"82892",2020-09-15,"longford (republic of ireland)",NA,"light"
"24919",2020-01-24,"lewisville","us","light"
"28585",2020-02-11,"brisbane (australia)","au","light"
"58296",2020-06-29,"mountlake terrace","us","light"
"72288",2020-08-01,"greer","us","light"
"15947",2020-11-04,"adelaide (south australia)","au","light"
"41780",2020-04-18,"fordland","us","light"
"32804",2020-02-05,"columbia falls","us","light"
"88218",2020-09-07,"castleton","us","light"
"68513",2019-07-04,"st. louis (pacific)","us","light"
"87659",2020-09-04,"mannheim (germany)","de","light"
"56358",2020-06-21,"new york city (brooklyn)","us","light"
"73791",2020-08-15,"firth","us","light"
"54805",2020-06-15,"durham","us","light"
"33489",2020-02-09,"lahaina","us","light"
"51699",2020-06-10,"seattle","us","light"
"5533",2019-10-28,"canfield","us","light"
"65544",2020-07-22,"pittsburgh","us","light"
"19513",2020-12-01,"uk/england (south coast of)",NA,"light"
"57963",2020-06-27,"milwaukee","us","light"
"59976",2020-06-06,"jericho","us","other"
"27046",2020-01-03,"brewster","us","other"
"66356",2020-07-25,"wickenburg/kingman (between)",NA,"other"
"21599",2020-12-21,"tulsa","us","other"
"339",2019-10-11,"portville","us","oval"
"66042",2020-07-24,"lynnwood","us","oval"
"80824",2020-09-10,"herkimer","us","oval"
"79334",2020-08-05,"reseda","us","rectangle"
"81919",2020-09-12,"league city","us","sphere"
"51521",2019-06-10,"philadelphia","us","sphere"
"31067",2020-02-02,"north augusta","us","sphere"
"33113",2020-02-07,"adamsville","us","sphere"
"88574",2020-09-08,"wasilla","us","sphere"
"29382",2020-02-14,"philadelphia","us","sphere"
"35497",2019-03-17,"denver","us","triangle"
"52344",2019-06-01,"pacific palisades","us","triangle"
"40057",2020-04-01,"flora vista (north of; hwy. 574)","us","triangle"
"56861",2019-06-23,"arlington","us","triangle"
"42148",2020-04-20,"schererville","us","triangle"
"63949",2020-07-17,"cedar rapids","us","triangle"
"42613",2020-04-02,"lexington","us","triangle"
"33614",2020-03-10,"st. charles","us","triangle"
"86120",2020-09-26,"idaho springs","us","unknown"
"36462",2020-03-02,"bethpage","us","unknown"
"71512",2020-08-11,"portland","us","unknown"
"34219",2019-03-12,"holloman afb",NA,"unknown"
"88217",2020-09-07,"bridgewater","us","unknown"
"76962",2019-08-25,"hot springs","us","unknown"
"32270",NA,"cedar springs","us",NA
"58733",2019-06-30,"malvern","us",NA
"85124",2020-09-22,"sand dune recreational area (west of&#44 on i-8)",NA,NA
"46347",2020-05-01,"eaton","us",NA
"15303",2020-11-30,"kingston","us","triangle"
"35537",2020-03-17,"shoreline","us","other"
"44459",2020-04-03,"vancouver (canada)","ca","triangle"
"69204",2020-07-04,"fort smith","us","fireball"
"81978",2019-09-13,"murphysboro","us","light"
"24816",2020-01-24,"norwich (uk/england)","gb","circle"
"68100",2020-07-03,"champaign","us","unknown"
"68704",2020-07-04,"columbia","us","cylinder"
"58297",2020-06-29,"seattle","us","disk"
"21004",2020-12-19,"kensington","us","chevron"
"52976",2019-06-01,"persian gulf",NA,"light"
"86047",2020-09-26,"woodstock (canada)","ca","light"
"71054",2020-07-09,"milwaukee","us","formation"
"68410",2019-07-04,"rapid city","us","triangle"
"29268",2019-02-14,"oceanside","us","chevron"
"80648",2020-09-10,"valley springs","us","circle"
"70459",2020-07-07,"fuzhou (china)",NA,"disk"
"6226",2020-10-30,"new kensington","us","formation"
"74810",2020-08-18,"sedro woolley",NA,"oval"
"64512",2020-07-19,"scituate",NA,"oval"
"23379",2020-12-28,"eagle river","us","oval"
"69241",2020-07-04,"ogallala","us","sphere"
"61944",NA,"nashville","us","sphere"
"65028",2019-07-21,"stockholm (sweden)",NA,"sphere"
"19190",2020-01-21,"kaeo (new zealand)",NA,"triangle"
"75679",2020-08-21,"olympia","us","unknown"
"3171",2019-10-19,"los banos&#44 laguna (philippines)",NA,"unknown"
"11016",2020-11-16,"panama city","us","light"
"30095",2020-02-17,"rockland county","us","oval"
"70895",2020-07-09,"palmer","us","unknown"
"84444",2019-09-21,"atlantic ocean (middle)",NA,"fireball"
"42132",2020-04-20,"wynnewood","us","triangle"
"88038",2020-09-06,"jackson","us","triangle"
"59506",2020-06-04,"suwanee","us","light"
"61339",2019-07-01,"san antonio","us","oval"
"34017",2020-03-01,"indialantic","us","sphere"
"35910",2020-03-19,"east yorkshire (uk/england)",NA,"changing"
"41650",2019-04-18,"brisbane (near) (queensland&#44 australia)","au",NA
"25855",2020-01-27,"fort collins","us","light"
"7446",2020-10-06,"bridgeport","us","triangle"
"70170",2020-07-06,"bristol","us","circle"
"72108",2020-08-01,"cozumel (north of) (mexico)",NA,"circle"
"26476",2020-01-29,"gilbert","us","unknown"
"73294",2020-08-14,"plantation","us","light"
"83424",2020-09-17,"london (canada)","ca","light"
"69048",2020-07-04,"columbus","us","fireball"
"59221",2020-06-30,"saint joseph","us","fireball"
"9157",2020-01-11,"beloit","us","fireball"
"53159",2020-06-01,"olathe","us","light"
"14824",2020-11-28,"lakewood","us","light"
"12453",2020-01-01,"league city","us","light"
"2175",2019-10-15,"breckenridge","us","other"
"19456",2020-01-21,"helsinki (finland)",NA,"other"
"4707",2020-10-24,"bethlehem","us","other"
"10949",2020-11-16,"arroyo grande","us","other"
"69574",2020-07-04,"san anselmo","us","oval"
"5247",2020-10-26,"las vegas","us","oval"
"10627",2020-11-15,"odessa","us","rectangle"
"55285",2020-06-17,"carlsbad","us","sphere"
"58248",2020-06-29,"minneapolis","us","sphere"
"50899",2020-05-06,"birmingham (uk/england)","gb","teardrop"
"88431",2020-09-08,"foxborough","us","triangle"
"42475",NA,"dont know",NA,NA
"59823",2019-06-06,"derbyshire (uk/england)","gb","triangle"
"27499",2020-01-05,"mexico (offshore waters)",NA,"light"
"25184",2020-01-25,"armonk","us","unknown"
"21617",2020-12-21,"fayetteville","us","cross"
"32274",2020-02-29,"new haven","us","light"
"86414",2020-09-27,"key west","us","fireball"
"39731",2020-04-10,"lugoff","us","circle"
"49450",2020-05-27,"cincinnati","us","circle"
"61844",2020-07-01,"babylon","us","fireball"
"19710",2020-12-12,"rochester","us","fireball"
"64606",2020-07-19,"mebane","us","fireball"
"84758",2020-09-02,"seattle","us","other"
"86627",2020-09-28,"kansas city","us","other"
"52580",2019-06-01,"thailand",NA,"triangle"
"77268",2020-08-26,"singapore",NA,"unknown"
"80571",2019-09-10,"phoenix","us","rectangle"
"71686",2020-08-11,"north massapequa","us","fireball"
"82518",2019-09-15,"titusville","us","triangle"
"36746",2020-03-22,"mount vernon","us","changing"
"4149",2020-10-02,"canton","us","fireball"
"58767",2019-06-30,"republic of ireland",NA,"light"
"34793",2020-03-14,"brookfield","us","triangle"
"72043",2019-08-01,"seattle","us","cigar"
"16560",2020-01-15,"fulton","us","circle"
"57040",2020-06-23,"cashion","us","oval"
"15829",2020-11-03,"shively","us","light"
"51781",2020-06-10,"wauwatosa","us","sphere"
"41313",2020-04-16,"rolla","us",NA
"63436",2020-07-15,"poteau","us","disk"
"45251",2020-04-08,"seattle","us","egg"
"82127",2020-09-13,"maysville","us","light"
"73768",2020-08-15,"little rock","us","disk"
"73200",2020-08-14,"chebanse","us","triangle"
"52462",2019-06-01,"plymouth (uk/england)","gb","oval"
"28845",2020-02-01,"ocala","us","circle"
"48416",2020-05-21,"bishop","us","sphere"
"53607",2020-06-13,"vallejo","us","changing"
"29602",2020-02-15,"new port richey","us","circle"
"47714",2020-05-18,"black mesa/shonto",NA,"disk"
"49167",2020-05-25,"madison","us","disk"
"59990",2020-06-06,"sacramento (approx. 45 mi. from; heading to san francisco)","us","disk"
"21839",2020-12-02,"seattle","us","fireball"
"84944",2020-09-02,"houston","us","fireball"
"73795",2020-08-15,"norwich&#44norfolk (uk/england)",NA,"flash"
"38655",2020-03-05,"bremerton","us","light"
"57445",2020-06-25,"waconia","us","light"
"32221",2020-02-28,"round rock","us","other"
"22051",2020-12-22,"bogor",NA,"oval"
"37742",2020-03-29,"steamboat","us","oval"
"38718",2020-03-05,"nogales","us","triangle"
"63343",2020-07-15,"tantoora beach (israel)",NA,NA
"11652",2020-11-18,"russell springs","us","disk"
"43926",2020-04-28,"las cruces","us","other"
"80003",2020-08-07,"west palm beach","us","light"
"37912",2019-03-30,"mountain view","us","other"
"15673",2020-11-03,"oklahoma city","us","other"
"55363",2020-06-17,"xenia","us","rectangle"
"45395",2020-04-08,"kokomo","us","triangle"
"1045",2020-10-01,"port hueneme","us","light"
"80141",2020-08-08,"melbourne (vic&#44 australia)","au","disk"
"12586",2020-01-01,"long beach","us","formation"
"1074",2020-10-01,"waterloo","us","triangle"
"34301",2020-03-12,"clatskanie","us","unknown"
"62334",2020-07-13,"miami","us","unknown"
"24390",2020-01-23,"ridgefield","us","light"
"63483",2020-07-15,"new mexico (north; while fishing)",NA,"disk"
"64323",2020-07-18,"st. charles","us","triangle"
"19700",2020-12-12,"tralee (ireland)",NA,"triangle"
"76582",2020-08-23,"colorado city","us","chevron"
"32261",2020-02-28,"evansville","us","circle"
"34062",2020-03-01,"rockford","us","circle"
"49662",2020-05-28,"lakemont","us","circle"
"73535",2019-08-15,"banff national park (alberta&#44 canada)",NA,"diamond"
"25353",2019-12-06,"philipsburg","us","disk"
"88870",2020-09-09,"kalispell","us","disk"
"6702",2020-10-03,"burien","us","disk"
"70500",2020-07-07,"ontelaunee","us","fireball"
"59929",2020-06-06,"roanoke rapids","us","fireball"
"65095",2020-07-21,"fort pierce","us","flash"
"80157",2020-08-08,"garden valley","us","formation"
"59868",2019-06-06,"reno","us","formation"
"3433",2019-10-20,"columbus","us","light"
"58412",2020-06-29,"middletown","us","light"
"11788",2020-11-19,"farisita","us","light"
"46701",2020-05-13,"burlington","us","light"
"27584",2020-01-06,"miami","us","light"
"73074",2019-08-14,"trout lake","us","light"
"21482",2020-12-20,"cameron","us","other"
"48079",2020-05-20,"glenn ellyn",NA,"other"
"5981",2020-10-29,"norridgewock","us","other"
"85323",2019-09-23,"thibodaux","us","other"
"17315",2020-01-17,"stevens point","us","oval"
"14130",2020-11-24,"san jose (costa rica)",NA,"triangle"
"61478",2019-07-01,"cedar rapids","us","triangle"
"51164",2020-05-07,"woodward","us","triangle"
"21874",2020-01-22,"southbridge","us","triangle"
"41015",2020-04-15,"westminster","us","triangle"
"10654",2020-11-15,"o&#39fallon","us","triangle"
"30071",2020-02-17,"culiacan (mexico)",NA,"unknown"
"45844",2019-05-11,"canterbury (south of) (new zealand)",NA,"unknown"
"9857",2020-11-13,"port orchard","us","unknown"
"61854",2020-07-01,"pullman","us",NA
"15390",2020-11-30,"mukilteo","us",NA
"76405",2019-08-23,"anaheim","us",NA
"58613",2019-06-30,"khada (gujarat) (india)",NA,NA
"86810",2020-09-29,"leaky",NA,"light"
"36570",2020-03-02,"rochester","us","light"
"22043",2020-12-22,"oklahoma city","us","oval"
"7750",2019-10-08,"phoenix","us",NA
"70658",2019-07-08,"austin","us","triangle"
"80752",2020-09-10,"festus","us","other"
"61873",2019-07-12,"morroco (4 miles south of)",NA,"changing"
"86464",2019-09-28,"crystal falls","us","light"
"2981",2019-10-18,"bellevue","us","light"
"18781",2020-12-10,"coulee city","us","light"
"59245",2019-06-03,"jasper","us","oval"
"17352",2020-11-07,"swiss","us","teardrop"
"2879",2020-10-17,"lubbock","us","light"
"56901",2020-06-23,"tacoma","us","other"
"59658",2020-06-05,"jasper","us","triangle"
"36862",2020-03-23,"el paso","us","changing"
"36814",2020-03-23,"lynchburg","us","diamond"
"88453",2020-09-08,"euless","us","disk"
"73573",2019-08-15,"busby","us","light"
"11820",2020-11-19,"san diego","us","light"
"71121",2019-08-10,"hazard","us","light"
"61929",2020-07-12,"gilbert","us","light"
"74931",2020-08-18,"bristol","us","fireball"
"31764",2020-02-25,"kailua kona",NA,"cylinder"
"3105",2020-10-18,"pittsburgh","us","changing"
"59621",2020-06-05,"melbourne beach","us","fireball"
"87563",2020-09-04,"south pasadena","us","fireball"
"68206",2020-07-03,"lacey","us","formation"
"84002",2020-09-19,"north smithfield","us","sphere"
"58786",2019-06-30,"delhi (india)",NA,"triangle"
"61639",2020-07-01,NA,NA,NA
"82687",2019-09-15,"wyoming","us","unknown"
"20470",2019-12-16,"everett","us",NA
"71356",2020-08-10,"salem","us","circle"
"37621",2020-03-28,"abington","us","diamond"
"40957",2019-04-15,"vancouver (canada)","ca","disk"
"15979",2020-01-14,"mansfield","us","formation"
"57051",2020-06-23,"louisville","us","light"
"78665",2020-08-31,"grand traverse county",NA,"light"
"42601",2020-04-02,"baytown","us","oval"
"87028",2020-09-30,"kingston","us","oval"
"42374",2020-04-21,"phoenix","us","teardrop"
"53589",2020-06-13,"seattle/tacoma (between)",NA,"unknown"
"70660",2019-07-08,"priest river","us","disk"
"69801",2020-07-05,"uk/england",NA,"disk"
"61268",2019-07-01,"south portland","us","oval"
"72936",2020-08-13,"shelton","us","triangle"
"49789",2020-05-29,"addis ababa (ethiopia)",NA,"flash"
"25774",2020-12-07,"harrisburg","us","formation"
"65097",2020-07-21,"reno","us","disk"
"1635",2019-10-14,"otis","us","other"
"1115",2019-10-12,"minnesota (central&#44 rural)",NA,"chevron"
"85131",2020-09-22,"phoenix","us","oval"
"68020",2019-07-03,"campbell river (vancouver island) (canada)","ca","triangle"
"75092",2020-08-19,"ft. lauderdale","us","disk"
"7431",2020-10-06,"sedalia","us","light"
"83064",2020-09-15,"northampton county (around route 191)","us","fireball"
"86486",2020-09-28,"green bay","us","fireball"
"65007",2020-07-20,"livingston",NA,"rectangle"
"10083",2019-11-14,"sunland","us","unknown"
"68037",2020-07-03,"manchester","us","other"
"44716",2020-04-05,"butte","us","flash"
"16642",2020-01-15,"queen creek","us","circle"
"26728",2020-01-30,"oakland","us","triangle"
"54120",2019-06-15,"lowell","us","other"
"51869",2020-06-11,"buffalo","us","oval"
"61501",2019-07-01,"sacramento","us","light"
"77663",2020-08-27,"campbell","us",NA
"52880",2019-06-01,"el paso","us","disk"
"14502",2020-11-26,"olympia","us","light"
"86799",2020-09-29,"plymouth","us","sphere"
"24056",2020-12-31,"honokaa","us","circle"
"1471",2020-10-13,"noida (india)",NA,"fireball"
"43449",2020-04-26,"costa mesa","us","light"
"27272",2020-01-04,"ben wheeler","us","light"
"37382",2020-03-26,"camden","us","light"
"71043",2020-07-09,"leetsdale","us","sphere"
"24392",2020-12-03,"albuquerque","us","unknown"
"32586",2020-02-04,"ozona","us","light"
"14263",2019-11-25,"wappingers falls","us","light"
"47185",2020-05-15,"utrecht (netherlands)",NA,"formation"
"17698",2020-01-18,"deer park","us","light"
"18037",2020-11-08,"tucumcari","us","flash"
"76067",2020-08-02,"st. george (grenada)",NA,"circle"
"66283",2020-07-25,"polk city","us","sphere"
"21768",2020-12-02,"genesee depot","us","cigar"
"27824",2020-01-07,"darwin (australia)","au","light"
"38010",2020-03-30,"rockford","us","sphere"
"44876",2020-04-05,"san antonio","us","triangle"
"25294",2020-01-25,"wilbraham","us","other"
"47619",2020-05-17,"jessup",NA,"unknown"
"40156",2020-04-01,"milton","us","fireball"
"6708",2020-10-03,"malverne","us","light"
"17909",2020-11-08,"yakima","us","light"
"83002",2020-09-15,"costa mesa","us","light"
"48112",2020-05-20,"new york city","us","triangle"
"3085",2020-10-18,"tucson","us","changing"
"85875",2020-09-25,"chateauguay (canada)","ca","changing"
"48681",2020-05-22,"east helena","us","changing"
"51678",2020-06-10,"montville","us","changing"
"33017",2020-02-07,"wheaton/kensington",NA,"changing"
"17159",2020-11-06,"kansas city","us","chevron"
"43308",2020-04-25,"durham","us","cigar"
"958",2020-10-01,"pell city","us","cigar"
"36899",2020-03-23,"richmond","us","circle"
"70080",2020-07-06,"simi valley","us","circle"
"58303",2020-06-29,"oak lawn","us","circle"
"51183",2020-05-07,"delaware","us","circle"
"83688",2020-09-18,"charlevoix","us","circle"
"35970",2020-03-19,"taylors","us","circle"
"3035",2020-10-18,"bridgewater (canada)","ca","circle"
"74151",2019-08-16,"birmingham (uk/england)","gb","circle"
"38593",2019-03-05,"new fairfield","us","circle"
"46088",2019-05-01,"cleveland","us","circle"
"48039",2019-05-20,"san lorenzo","us","circle"
"79461",2020-08-05,"valdosta","us","circle"
"39403",2020-03-09,"paragon","us","cylinder"
"27067",2020-01-03,"lafayette","us","cylinder"
"24284",2020-01-23,"salisbury","us","disk"
"44159",2019-04-30,"fricot city",NA,"disk"
"77237",2020-08-26,"perth (western australia)","au","disk"
"42666",2019-04-22,"bangor submarine base (olympic penninsula)",NA,"disk"
"43252",2019-04-25,"riggins","us","egg"
"21340",2019-12-20,"sweden",NA,"fireball"
"62703",2020-07-14,"aurora","us","fireball"
"9435",2020-11-01,"goldsboro","us","fireball"
"11639",2020-11-18,"oscoda","us","fireball"
"11354",2020-11-17,"thomasville","us","fireball"
"22843",2020-12-25,"weeki wachee","us","fireball"
"83335",2020-09-17,"italy",NA,"fireball"
"27172",2020-01-04,"beeville","us","flash"
"53448",2020-06-12,"volujntown",NA,"flash"
"71325",2020-08-10,"lewiston","us","formation"
"21218",2020-01-02,"downey","us","formation"
"40035",2020-04-01,"mission viejo","us","formation"
"38869",2020-03-06,"culver","us","formation"
"78505",2020-08-31,"cinnaminson","us","formation"
"61650",2020-07-01,"kimberling city","us","formation"
"22582",2020-12-24,"fayetteville","us","formation"
"22081",2020-12-22,"dallas","us","light"
"64943",2020-07-20,"buffalo grove","us","light"
"88297",2020-09-07,"antonito (30 miles east of my location)","us","light"
"69195",2020-07-04,"lincoln","us","light"
"11925",2020-11-19,"pittsburgh","us","light"
"80746",2020-09-10,"youngsville","us","light"
"68455",2019-07-04,"belleville","us","light"
"40474",2020-04-13,"cedar rapids","us","light"
"38223",2020-03-31,"corona","us","light"
"57027",2020-06-23,"gilbert","us","light"
"3916",2020-10-21,"decatur","us","light"
"40126",2020-04-01,"maysville","us","light"
"85775",2019-09-25,"alvarado","us","light"
"15898",2020-11-04,"windsor locks","us","light"
"77863",2020-08-28,"welland (canada)","ca","light"
"12314",2020-01-01,"san diego","us","light"
"76090",2020-08-02,"greenbush","us","light"
"70949",2020-07-09,"eagle point","us","light"
"35642",2020-03-17,"gonzales","us","light"
"15569",2020-01-13,"stevens point","us","light"
"75382",2020-08-20,"augusta","us","light"
"69638",2020-07-04,"boise","us","light"
"10817",2019-11-16,"taylorville","us","light"
"77569",2020-08-27,"brookville","us","light"
"63423",2020-07-15,"aspen cove (canada)",NA,"light"
"48261",2019-05-21,"melbourne (vic&#44 australia)","au","other"
"44810",2020-04-05,"new castle","us","other"
"7388",2020-10-06,"normal","us","other"
"12723",2019-11-20,"lebanon","us","oval"
